source,kge_median,kge_mean,kge_count,kge_>0(%),nrmse_median,nrmse_mean,nrmse_count,nrmse_<0.6(%),nse_median,nse_mean,nse_count,nse_>0(%)
modified_q50_iqr_node_3.0_qastrict_VersionD_swotslp,0.0721,-0.5268,308,60.06,0.8296,1.5182,308,24.03,-0.0276,-16.8156,308,46.43
modified_q50_iqr_node_3.0_noqa_VersionD_swotslp,0.0453,-0.8029,762,56.04,0.8399,1.7547,762,21.78,-0.0207,-19.9535,762,47.77
modified_q50_iqr_node_1.0_noqa_VersionD_swotslp,0.0854,-0.4951,464,64.87,0.8333,1.4946,464,20.91,-0.0617,-30.6404,464,43.53
modified_q50_iqr_node_4.0_noqa_VersionD_swotslp,0.0199,-0.764,828,51.93,0.8387,1.7016,828,20.41,-0.0167,-17.8533,828,47.34
modified_q50_iqr_node_2.5_qaloose_VersionD_swotslp,0.0695,-0.2961,536,60.07,0.8181,1.2745,536,22.39,-0.0079,-11.4189,536,48.51
modified_q50_iqr_node_4.0_qastrict_VersionD_swotslp,0.0549,-0.4874,336,56.55,0.8062,1.439,336,25.3,-0.0117,-14.4123,336,48.21
modified_q50_iqr_node_1.5_qaloose_VersionD_swotslp,0.0928,-0.5293,424,62.5,0.8125,1.5587,424,24.76,-0.0367,-38.6373,424,46.23
modified_q50_iqr_node_1.0_noqa_VersionD_00.3,0.0675,-0.9357,212,59.43,0.8479,1.9011,212,21.7,-0.0078,-44.2558,212,49.06
modified_q50_iqr_node_1.5_qastrict_VersionD_swotslp,0.1166,-0.7846,246,69.51,0.7998,1.8754,246,27.64,-0.0033,-54.1587,246,49.19
modified_q50_iqr_node_1.5_noqa_VersionD_swotslp,0.0975,-1.078,567,62.08,0.8411,2.0971,567,22.93,-0.0431,-43.1431,567,46.38
modified_q50_iqr_node_1.0_noqa_VersionD_00,0.1027,-0.7152,304,68.75,0.8382,1.7463,304,19.41,-0.0183,-40.9364,304,48.36
modified_q50_iqr_node_2.0_qaloose_VersionD_swotslp,0.0704,-0.48,485,62.06,0.8189,1.5002,485,23.71,-0.0145,-21.7767,485,47.01
modified_q50_iqr_node_2.5_noqa_VersionD_swotslp,0.0447,-0.8208,714,56.72,0.8391,1.7956,714,22.69,-0.0271,-21.4074,714,46.36
modified_q50_iqr_node_2.5_qastrict_VersionD_swotslp,0.1017,-0.5032,293,62.8,0.8141,1.5214,293,25.6,-0.0064,-17.9809,293,49.49
modified_q50_iqr_node_1.0_noqa_VersionD_noqacontrol,-0.0953,-3.4445,488,43.65,0.9654,3.8835,488,15.78,-0.179,-486.9981,488,31.76
modified_q50_iqr_node_1.0_qastrict_VersionD_swotslp,0.095,-0.983,214,66.36,0.7955,2.0459,214,25.23,-0.0661,-61.2429,214,42.52
modified_q50_iqr_node_1.0_qaloose_VersionD_swotslp,0.0998,-0.6748,346,63.29,0.8203,1.7307,346,23.7,-0.0758,-46.899,346,41.33
modified_q50_iqr_node_3.0_qaloose_VersionD_swotslp,0.0578,-0.3208,563,58.61,0.8158,1.2772,563,23.27,-0.0035,-10.6307,563,49.56
modified_q50_iqr_node_2.0_noqa_VersionD_swotslp,0.0697,-0.8835,645,59.84,0.8498,1.8843,645,23.1,-0.0243,-24.7183,645,46.98
modified_q50_iqr_node_1.5_noqa_VersionD_00,0.0935,-0.5164,397,63.22,0.8551,1.5367,397,21.41,-0.0178,-31.301,397,48.36
modified_q50_iqr_node_1.5_noqa_VersionD_00.3,0.0513,-0.7092,275,57.09,0.8984,1.6862,275,15.64,-0.0097,-34.319,275,48.73
modified_q50_iqr_node_1.5_noqa_VersionD_noqacontrol,-0.0501,-3.5576,544,46.51,0.924,4.2068,544,17.46,-0.1477,-613.608,544,34.01
modified_q50_iqr_node_1.0_noqa_VersionD_0.3,0.129,-0.7953,338,65.38,0.8591,1.8831,338,20.71,-0.1067,-51.3507,338,40.83
modified_q50_iqr_node_1.5_noqa_VersionD_0.3,0.1221,-1.4155,457,65.21,0.8612,2.5096,457,21.23,-0.0662,-58.814,457,45.08
modified_q50_iqr_node_4.0_qaloose_VersionD_swotslp,0.0398,-0.9167,619,56.06,0.8191,1.8675,619,21.81,-0.0128,-22.968,619,48.47
modified_q50_iqr_node_2.0_qastrict_VersionD_swotslp,0.1204,-0.5457,277,64.26,0.8141,1.5978,277,25.63,-0.0029,-21.087,277,49.82
