stationid,w50,Q1,Q3,IQR,w_low_iqr1.0,w_high_iqr1.0,w_low_iqr1.5,w_high_iqr1.5,w_low_iqr2.0,w_high_iqr2.0,w_low_iqr2.5,w_high_iqr2.5,w_low_iqr3.0,w_high_iqr3.0,w_low_iqr4.0,w_high_iqr4.0,w_low,w_high
changjiangtun,193.99493561567772,179.146440205874,200.63612436465564,21.489684158781643,157.65675604709236,222.12580852343729,146.91191396770154,232.8706506028281,136.16707188831072,243.61549268221893,125.4222298089199,254.36033476160975,114.67738772952907,265.10517684100057,93.18770357074743,286.5948609997822,157.65675604709236,222.12580852343729
dalai,303.405805732147,273.9717025620656,332.4354368207175,58.46373425865187,215.50796830341375,390.89917107936935,186.2761011740878,420.13103820869526,157.04423404476188,449.3629053380212,127.81236691543594,478.5947724673472,98.58049978611001,507.8266395966731,40.11676552745814,566.290373855325,215.50796830341375,390.89917107936935
fuyu,282.043671149088,267.02754479364734,335.7130006278024,68.68545583415505,198.3420889594923,404.39845646195744,163.99936104241476,438.74118437903496,129.65663312533724,473.0839122961125,95.31390520825971,507.42664021319,60.97117729118219,541.7693681302676,30.0,610.4548239644225,198.3420889594923,404.39845646195744
heishiguan,89.41771327747223,67.88031805187825,116.03441349907833,48.15409544720008,30.0,164.1885089462784,30.0,188.26555666987844,30.0,212.3426043934785,30.0,236.4196521170785,30.0,260.49669984067856,30.0,308.6507952878786,30.0,164.1885089462784
huaibin,132.127238816327,103.4868033617259,151.214285462901,47.727482101175084,55.75932126055082,198.9417675640761,31.895580209963285,222.8055086146636,30.0,246.66924966525116,30.0,270.5329907158387,30.0,294.3967317664262,30.0,342.1242138676013,55.75932126055082,198.9417675640761
humaqiao,194.91292406124347,131.15411910863875,234.255274159056,103.10115505041725,30.0,337.3564292094733,30.0,388.9070067346819,30.0,440.4575842598905,30.0,492.0081617850991,30.0,543.5587393103078,30.0,646.659894360725,30.0,337.3564292094733
jiamusi,1107.0930923519,1057.017331275355,1125.31854602993,68.30121475457508,988.7161165207799,1193.6197607845052,954.5655091434924,1227.7703681617927,920.4149017662048,1261.9209755390802,886.2642943889173,1296.0715829163678,852.1136870116297,1330.2221902936553,783.8124722570547,1398.5234050482304,988.7161165207799,1193.6197607845052
kuerbin,101.203504038198,94.2790537618998,102.505537423484,8.226483661584197,86.0525701003156,110.7320210850682,81.93932826952351,114.8452629158603,77.82608643873141,118.9585047466524,73.7128446079393,123.07174657744449,69.59960277714721,127.18498840823659,61.373119115563014,135.41147206982077,86.0525701003156,110.7320210850682
lianhua,102.4601710694082,70.59522825282981,148.97543233545449,78.38020408262467,30.0,227.35563641807914,30.0,266.5457384593915,30.0,305.73584050070383,30.0,344.9259425420162,30.0,384.1160445833285,30.0,462.4962486659532,30.0,227.35563641807914
liujiatun,138.7656206643865,124.01022709484349,150.74813781068474,26.737910715841252,97.27231637900223,177.486048526526,83.90336102108161,190.8550038844466,70.53440566316098,204.22395924236724,57.165450305240356,217.59291460028788,43.79649494731973,230.9618699582085,30.0,257.69978067404975,97.27231637900223,177.486048526526
longmenzhen,175.7769431124277,155.78483201500833,191.99483620477852,36.21000418977019,119.57482782523815,228.2048403945487,101.46982573035305,246.3098424894338,83.36482363546796,264.41484458431887,65.25982154058286,282.51984667920397,47.15481944569777,300.62484877408906,30.0,336.83485296385925,119.57482782523815,228.2048403945487
luanxian,134.9137691352757,84.83446535337288,191.136574074186,106.30210872081312,30.0,297.4386827949991,30.0,350.5897371554057,30.0,403.74079151581225,30.0,456.8918458762188,30.0,510.04290023662537,30.0,616.3450089574385,30.0,297.4386827949991
shihuiyao,121.16438548961924,112.53962968624668,129.06025606990855,16.520626383661863,96.01900330258482,145.5808824535704,87.75869011075389,153.84119564540134,79.49837691892296,162.10150883723227,71.23806372709203,170.3618220290632,62.977750535261094,178.62213522089414,46.45712415159923,195.142761604556,96.01900330258482,145.5808824535704
shuanghetun,112.871597481263,99.5107924232241,120.458841982548,20.94804955932389,78.56274286390021,141.4068915418719,68.08871808423827,151.88091632153385,57.61469330457632,162.35494110119578,47.140668524914375,172.8289658808577,36.66664374525243,183.30299066051967,30.0,204.25104021984356,78.56274286390021,141.4068915418719
tangmazhai,87.65930961368616,71.87836823794748,104.50897633773884,32.63060809979136,39.247760138156124,137.1395844375302,30.0,153.45488848742588,30.0,169.77019253732158,30.0,186.08549658721722,30.0,202.40080063711292,30.0,235.03140873690427,39.247760138156124,137.1395844375302
tonghe,1007.9019069193745,884.9239697736776,1119.7011332907302,234.7771635170526,650.146806256625,1354.478296807783,532.7582244980988,1471.8668785663092,415.36964273957244,1589.2554603248354,297.9810609810462,1706.6440420833617,180.59247922251984,1824.032623841888,30.0,2058.8097873589404,650.146806256625,1354.478296807783
tonghua,191.07216470957,152.05038397174198,218.1625253791078,66.11214140736581,85.93824256437617,284.27466678647363,52.88217186069326,317.3307374901565,30.0,350.38680819383944,30.0,383.4428788975223,30.0,416.49894960120525,30.0,482.61109100857107,85.93824256437617,284.27466678647363
xingjiawopeng,70.9704512367085,69.8267374339116,85.3571669666265,15.53042953271489,54.29630790119671,100.88759649934138,46.53109313483927,108.65281126569883,38.76587836848182,116.41802603205628,31.000663602124376,124.18324079841372,30.0,131.94845556477117,30.0,147.47888509748606,54.29630790119671,100.88759649934138
