,stationid,kge,nse,nrmse
0,changjiangtun,-0.253312672254171,-0.8347557953907385,0.9660973285654564
41,fuyu,0.4838340602487112,0.033629599415404,0.5242403818664589
99,heishiguan,-0.0592845072666503,-0.9151526407293108,1.2542331378181475
175,huaibin,-0.2454628537333663,-0.0226281265087899,0.845460613678987
210,humaqiao,0.1471264754487574,0.0587153750095286,0.8735140496655566
303,lianhua,0.5017707951230725,0.5562201016796033,0.5119826421726813
363,liujiatun,-0.0173045804232196,-0.1894075516446376,0.989601264245186
453,luanxian,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
570,shihuiyao,-0.2386876034009268,-0.4491941224289759,1.1751100471169786
627,shuanghetun,-0.1330122090453096,-0.304670380277543,1.0060446702671468
689,tangmazhai,0.2001383718186753,0.1856670703912232,1.0021475708350167
797,tonghe,0.7249312316274575,0.7885286584711845,0.3052552298009134
832,tonghua,0.2300633283756792,0.0144894750649724,0.7534066172213884
881,xingjiawopeng,-0.0268476349004205,0.0307676395640233,1.1111277255437777
