,stationid,KGE,NSE,nRMSE
0,changjiangtun,0.0761425684606881,-0.3021506656532122,1.0617366294735289
65,dalai,0.3418243364412697,0.4481700630016149,0.623521851843798
155,fuyu,0.4079107703328,-0.0288438274870794,0.5666910000813261
240,heishiguan,-0.2754385263789676,-0.1556294896227734,1.5321611110420352
376,huaibin,-0.2280925124997852,-0.1343336158095247,1.0239620167385746
448,humaqiao,0.462306524093362,0.2179766118795219,0.7784157538065528
572,jiamusi,0.6316715690723993,0.4522341911517517,0.4284270515819611
660,kuerbin,0.5073735311495791,0.4828485798643356,0.7784182652917149
707,lianhua,-0.1106951701167133,-5.651824075275534,1.862284268425496
789,liujiatun,0.2348894203258167,-0.1873373781464153,0.9674315171880544
904,longmenzhen,-2.2970863003620376,-16.15615870589582,10.508435498611934
1030,luanxian,-0.8460965605887398,-0.617176308358218,3.2800980245636646
1225,shihuiyao,-0.0857796582445031,-0.4152048421046181,1.17214766275081
1287,shuanghetun,0.160621291398348,-0.2228517042604361,0.9574801089246776
1350,tangmazhai,-0.0050950620733367,0.0786523169248641,1.0655727382554254
1506,tonghe,0.4365636653701076,-0.6247373011201516,0.8778720537938227
1592,tonghua,0.4375138367841729,0.1687646348629732,0.8131389067867314
1663,xingjiawopeng,-0.0118660475234637,-0.0093838008564872,1.1878288792345164
